# x_m,y_m,w_tr_right_m,w_tr_left_m
1.1100,2.2750,0.8016,0.8016
1.1600,2.2750,0.8000,0.8000
1.2100,2.2750,0.8000,0.8000
1.2600,2.2750,0.8000,0.8000
1.3100,2.2750,0.8000,0.8000
1.3600,2.2750,0.8000,0.8000
1.4100,2.2750,0.8000,0.8000
1.4600,2.2750,0.8000,0.8000
1.5100,2.2750,0.8000,0.8000
1.5600,2.2750,0.8000,0.8000
1.6100,2.2750,0.8000,0.8000
1.6600,2.2750,0.8000,0.8000
1.7100,2.2750,0.8000,0.8000
1.7600,2.2750,0.8000,0.8000
1.8100,2.2750,0.8000,0.8000
1.8600,2.2750,0.8000,0.8000
1.9100,2.2750,0.8000,0.8000
1.9600,2.2750,0.8000,0.8000
2.0100,2.2750,0.8000,0.8000
2.0600,2.2750,0.8000,0.8000
2.1100,2.2750,0.8000,0.8000
2.1600,2.2750,0.8000,0.8000
2.2100,2.2750,0.8000,0.8000
2.2600,2.2750,0.8000,0.8000
2.3100,2.2750,0.8000,0.8000
2.3600,2.2750,0.8000,0.8000
2.4100,2.2750,0.8000,0.8000
2.4600,2.2750,0.8000,0.8000
2.5100,2.2750,0.8000,0.8000
2.5600,2.2750,0.8000,0.8000
2.6100,2.2750,0.8000,0.8000
2.6600,2.2750,0.8000,0.8000
2.7100,2.2750,0.8000,0.8000
2.7600,2.2750,0.8000,0.8000
2.8100,2.2750,0.8000,0.8000
2.8600,2.2750,0.8000,0.8000
2.9100,2.2750,0.8000,0.8000
2.9600,2.2750,0.8000,0.8000
3.0100,2.2750,0.8000,0.8000
3.0600,2.2750,0.8000,0.8000
3.1100,2.2750,0.8000,0.8000
3.1600,2.2750,0.8000,0.8000
3.2100,2.2750,0.8000,0.8000
3.2600,2.2250,0.8000,0.8000
3.3100,2.2250,0.8000,0.8000
3.3600,2.2250,0.8000,0.8000
3.4100,2.2250,0.8000,0.8000
3.4600,2.2250,0.8000,0.8000
3.5100,2.2250,0.8000,0.8000
3.5600,2.2250,0.8000,0.8000
3.6100,2.2250,0.8000,0.8000
3.6600,2.2250,0.8000,0.8000
3.7100,2.2250,0.8000,0.8000
3.7600,2.2250,0.8000,0.8000
3.8100,2.2250,0.8000,0.8000
3.8600,2.2250,0.8000,0.8000
3.9100,2.2250,0.8000,0.8000
3.9600,2.2250,0.8000,0.8000
3.9600,2.2250,0.8000,0.8000
4.0100,2.2250,0.8000,0.8000
4.0600,2.2250,0.8000,0.8000
4.1100,2.2750,0.8500,0.8500
4.1600,2.3250,0.9000,0.9000
4.2100,2.3750,0.9500,0.9500
4.2600,2.4250,0.9500,0.9500
4.2600,2.4250,0.9500,0.9500
4.2600,2.4750,0.9500,0.9500
4.2600,2.5250,0.9500,0.9500
4.2600,2.5750,0.9500,0.9500
