s_m,x_m,y_m
1853.810564,-31.150800,-206.569007
1856.815119,-29.007043,-208.672297
1859.819675,-26.673694,-210.563145
1862.824230,-24.170368,-212.222572
1865.828785,-21.520666,-213.637047
1868.833340,-18.750557,-214.797874
1871.837896,-15.884923,-215.697687
1874.842451,-12.948023,-216.327746
1877.847006,-9.964924,-216.675283
1880.851561,-6.962059,-216.722768
1883.856116,-3.972130,-216.445914
1886.860672,-1.035189,-215.821990
1889.865227,1.802685,-214.842312
1892.869782,4.497959,-213.519891
1895.874337,7.019038,-211.889446
1898.878892,9.348598,-209.994111
1901.883448,11.476711,-207.874807
1904.888003,13.397598,-205.565674
1907.892558,15.101786,-203.092245
1910.897113,16.571089,-200.472357
1913.901668,17.779788,-197.722796
1916.906224,18.700944,-194.864368
1919.910779,19.307784,-191.923490
1922.915334,19.575676,-188.932850
1925.919889,19.486061,-185.931666
1928.924445,19.027413,-182.964414
1931.929000,18.196440,-180.079429
1934.933555,17.003346,-177.324524
1937.938110,15.474141,-174.740967
1940.942665,13.648163,-172.357658
1943.947221,11.574114,-170.186358
1946.951776,9.303605,-168.220671
1949.956331,6.885658,-166.438638
1952.960886,4.362721,-164.808171
1955.965441,1.769855,-163.290443
1958.969997,-0.863485,-161.843927
1961.974552,-3.509844,-160.421170
1964.979107,-6.138063,-158.965228
1967.983662,-8.707751,-157.408584
1970.988217,-11.164113,-155.679850
1973.992773,-13.431625,-153.711449
1976.997328,-15.411607,-151.457131
1980.001883,-17.002725,-148.914658
1983.006438,-18.133823,-146.136273
1986.010994,-18.785958,-143.206644
1989.015549,-18.975138,-140.209755
1992.020104,-18.712821,-137.217443
1995.024659,-17.979510,-134.304811
1998.029214,-16.724224,-131.578696
2001.033770,-14.901310,-129.200948
2004.038325,-12.548428,-127.352199
2007.042880,-9.814536,-126.132271
2010.047435,-6.881917,-125.503617
2013.051990,-3.882892,-125.345981
2016.056546,-0.883973,-125.525135
2019.061101,2.093563,-125.926954
2022.065656,5.048609,-126.470215
2025.070211,7.986257,-127.100890
2028.074766,10.912674,-127.781705
2031.079322,13.832680,-128.489376
2034.083877,16.749392,-129.210605
2037.088432,19.664465,-129.938355
2040.092987,22.578480,-130.670263
2043.097542,25.491645,-131.405540
2046.102098,28.404160,-132.143374
2049.106653,31.316297,-132.882692
2052.111208,34.228006,-133.623718
2055.115763,37.139159,-134.366923
2058.120319,40.049729,-135.112459
2061.124874,42.959949,-135.859337
2064.129429,45.870146,-136.606332
2067.133984,48.780619,-137.352235
2070.138539,51.691480,-138.096580
2073.143095,54.602884,-138.838839
2076.147650,57.515229,-139.577335
2079.152205,60.428388,-140.312629
2082.156760,63.341948,-141.046349
2085.161315,66.255664,-141.779441
2088.165871,69.169872,-142.510566
2091.170426,72.084899,-143.238543
2094.174981,75.000264,-143.965098
2097.179536,77.915779,-144.691048
2100.184091,80.831567,-145.415905
2103.188647,83.747721,-146.139290
2106.193202,86.664368,-146.860771
2109.197757,89.582436,-147.576472
2112.202312,92.504379,-148.276183
2115.206868,95.433653,-148.944722
2118.211423,98.375285,-149.556582
2121.215978,101.335830,-150.068491
2124.220533,104.320706,-150.411357
2127.225088,107.324251,-150.481822
2130.229644,110.307423,-150.138904
2133.234199,113.161993,-149.221044
2136.238754,115.686874,-147.616160
2139.243309,117.656724,-145.368254
2142.247864,118.965988,-142.676306
2145.252420,119.667688,-139.760179
2148.256975,119.898263,-136.766385
2151.261530,119.804231,-133.763976
2154.266085,119.511026,-130.773911
2157.270640,119.117850,-127.795264
2160.275196,118.707855,-124.818858
2163.279751,118.354975,-121.835332
2166.284306,118.124400,-118.840226
2169.288861,118.070217,-115.837019
2172.293417,118.236406,-112.838105
2175.297972,118.654463,-109.864286
2178.302527,119.338107,-106.939959
2181.307082,120.284019,-104.089545
